group,num_ants,alpha,beta,evaporation_rate,q_percentage,iterations,fitness
100x100,200,1.5,3.0,0.3,0.2,50,12278.698140015427
100x100,200,1.5,3.0,0.3,0.1,100,11085.998848294812
100x100,200,1.5,3.0,0.3,0.1,50,10984.045947912997
100x100,200,1.5,1.0,0.7,0.2,100,5543.719219940331
100x100,200,1.5,1.0,0.7,0.2,50,5861.475863678227
100x100,200,1.5,1.0,0.7,0.1,100,5774.605316348367
100x100,200,1.5,1.0,0.7,0.1,50,5397.097777643501
100x100,200,1.5,1.0,0.3,0.2,100,7872.118618760107
100x100,200,1.5,1.0,0.3,0.2,50,6633.828038905369
100x100,200,1.5,1.0,0.3,0.1,100,6702.748832017267
100x100,200,1.5,1.0,0.3,0.1,50,8305.46355714486
100x100,200,1.5,3.0,0.7,0.1,50,9363.30599645623
100x100,100,1.5,1.0,0.3,0.1,100,6733.519056973537
100x100,200,0.5,1.0,0.7,0.2,100,9035.295979224491
100x100,200,0.5,3.0,0.3,0.1,100,13641.779159909027
100x100,100,1.5,3.0,0.7,0.2,100,9197.660288899908
100x100,100,1.5,3.0,0.7,0.2,50,9926.93845095462
100x100,100,1.5,3.0,0.7,0.1,100,9649.477746124807
100x100,100,1.5,3.0,0.7,0.1,50,9725.474838261329
100x100,100,1.5,3.0,0.3,0.2,100,12072.201016016765
100x100,100,1.5,3.0,0.3,0.2,50,12469.898560408388
100x100,100,1.5,3.0,0.3,0.1,100,12617.023059438743
100x100,100,1.5,3.0,0.3,0.1,50,13871.098931933004
100x100,100,1.5,1.0,0.7,0.2,100,6395.7091577684305
100x100,100,1.5,1.0,0.7,0.2,50,6114.857470973011
100x100,100,1.5,1.0,0.7,0.1,100,5647.072731031873
100x100,100,1.5,1.0,0.7,0.1,50,6778.299841774009
100x100,200,0.5,1.0,0.3,0.1,50,8701.271621570957
100x100,100,1.5,1.0,0.3,0.2,100,8352.31048126577
100x100,100,1.5,1.0,0.3,0.1,100,8323.025428894367
100x100,100,1.5,1.0,0.3,0.1,50,7039.094930919071
100x100,100,0.5,3.0,0.7,0.2,100,10831.249571802038
100x100,100,0.5,3.0,0.7,0.2,50,11460.732594357563
100x100,100,0.5,3.0,0.7,0.1,100,11472.343086032108
100x100,100,0.5,3.0,0.7,0.1,50,12532.022877755327
100x100,100,0.5,3.0,0.3,0.2,100,12519.88845962549
100x100,100,0.5,3.0,0.3,0.2,50,11704.822604855905
100x100,100,0.5,3.0,0.3,0.1,100,13332.986077052396
100x100,100,0.5,3.0,0.3,0.1,50,13525.671487757105
100x100,100,0.5,1.0,0.7,0.2,100,6619.299235536326
100x100,100,0.5,1.0,0.7,0.2,50,11590.915146408255
100x100,100,1.5,1.0,0.3,0.2,50,7269.431505881095
100x100,100,0.5,1.0,0.7,0.1,100,7343.583440572144
100x100,200,0.5,1.0,0.3,0.1,100,9945.113595552411
100x100,200,0.5,1.0,0.3,0.2,100,8787.294076215352
100x100,200,1.5,3.0,0.7,0.1,100,10953.118363337253
100x100,200,1.5,3.0,0.7,0.1,50,9372.912462578326
100x100,200,1.5,3.0,0.3,0.2,100,12640.657702024597
100x100,200,1.5,3.0,0.3,0.2,50,13698.56647832806
100x100,200,1.5,3.0,0.3,0.1,100,12403.263530482443
100x100,200,1.5,3.0,0.3,0.1,50,11231.977317654439
100x100,200,1.5,1.0,0.7,0.2,100,6150.781214106596
100x100,200,1.5,1.0,0.7,0.2,50,6491.9448718102885
100x100,200,1.5,1.0,0.7,0.1,100,7414.086511581536
100x100,200,1.5,1.0,0.7,0.1,50,6748.128731885406
100x100,200,1.5,1.0,0.3,0.2,100,9156.727453703961
100x100,200,1.5,1.0,0.3,0.2,50,9210.480834982116
100x100,200,0.5,1.0,0.3,0.2,50,9202.811635875354
100x100,200,1.5,1.0,0.3,0.1,100,7318.23582083146
100x100,200,0.5,3.0,0.7,0.2,100,12718.824437305673
100x100,200,0.5,3.0,0.7,0.2,50,12009.955655716636
100x100,200,0.5,3.0,0.7,0.1,100,12298.553105380579
100x100,200,0.5,3.0,0.7,0.1,50,13059.772043462759
100x100,200,0.5,3.0,0.3,0.2,100,12490.244214144655
100x100,200,0.5,3.0,0.3,0.2,50,14134.39940595661
100x100,200,0.5,3.0,0.3,0.1,100,12872.887430061674
100x100,200,0.5,3.0,0.3,0.1,50,13375.217973985797
100x100,200,0.5,1.0,0.7,0.2,100,8642.433069751836
100x100,200,0.5,1.0,0.7,0.2,50,8328.530873422904
100x100,200,0.5,1.0,0.7,0.1,100,8588.230190545231
100x100,200,0.5,1.0,0.7,0.1,50,7819.283629284422
100x100,200,1.5,1.0,0.3,0.1,50,9219.83220288583
100x100,200,0.5,3.0,0.3,0.1,50,14203.0798651866
100x100,100,0.5,1.0,0.7,0.1,50,7806.236451393352
100x100,100,0.5,1.0,0.3,0.2,50,8841.042600922094
100x100,50,0.5,1.0,0.3,0.2,100,8659.385637956933
100x100,50,0.5,1.0,0.3,0.2,50,8433.102443075124
100x100,50,0.5,1.0,0.3,0.1,100,9583.212388672584
100x100,50,0.5,1.0,0.3,0.1,50,10624.7891951585
100x100,200,1.5,3.0,0.7,0.2,100,10517.887025008156
100x100,200,1.5,3.0,0.7,0.2,50,11890.50236842725
