group,num_ants,alpha,beta,evaporation_rate,q_percentage,iterations,fitness
40x160,80,0.5,3.0,0.7,0.1,50,26886.441405089532
40x160,80,1.5,3.0,0.3,0.2,50,26247.537991456316
40x160,80,0.5,3.0,0.3,0.1,100,26212.96123625009
40x160,80,0.5,3.0,0.3,0.2,100,25982.88371219153
40x160,40,0.5,3.0,0.3,0.1,50,25174.333014590455
40x160,80,1.5,3.0,0.3,0.2,100,25117.735464489502
40x160,40,0.5,3.0,0.3,0.2,100,24909.641609228802
40x160,40,0.5,1.0,0.3,0.2,50,24895.92151868697
40x160,80,1.5,3.0,0.3,0.2,100,24862.79721637554
40x40,40,1.5,3.0,0.3,0.1,100,8428.49442288972
40x40,80,1.5,3.0,0.3,0.2,50,7635.536141552368
40x40,40,1.5,3.0,0.3,0.1,50,7528.94155941615
40x40,40,1.5,3.0,0.3,0.2,100,7494.815202311071
40x40,80,0.5,3.0,0.3,0.2,50,7492.3834821005275
40x40,80,0.5,3.0,0.3,0.1,50,7479.321292032623
40x40,40,0.5,3.0,0.7,0.2,100,7478.741665800981
40x40,80,1.5,3.0,0.3,0.2,100,7379.42269912518
40x40,80,0.5,3.0,0.3,0.1,50,7298.9989868509165
40x40,80,0.5,3.0,0.3,0.1,100,7255.377837059514
40x80,80,1.5,3.0,0.3,0.1,50,14331.39051804363
40x80,40,0.5,3.0,0.3,0.2,50,14297.092756434173
40x80,80,0.5,3.0,0.3,0.2,50,14284.79510815745
40x80,80,1.5,3.0,0.3,0.2,50,14205.547612318282
40x80,80,0.5,3.0,0.3,0.1,50,14177.830521055075
40x80,20,0.5,3.0,0.3,0.2,50,14164.551875780006
40x80,40,0.5,3.0,0.7,0.1,100,14117.526229707624
40x80,80,0.5,3.0,0.7,0.2,50,14083.061081787213
40x80,40,0.5,3.0,0.7,0.1,50,14031.469551175749
40x80,80,0.5,3.0,0.3,0.1,50,13966.865120541876
60x120,120,0.5,3.0,0.7,0.1,50,20734.05737512483
60x120,120,0.5,3.0,0.3,0.2,100,20558.935220421285
60x120,120,0.5,3.0,0.3,0.1,100,19969.92965401542
60x120,30,0.5,3.0,0.3,0.2,50,19888.517796076325
60x120,120,0.5,3.0,0.3,0.2,50,19861.410797503046
60x120,120,0.5,3.0,0.3,0.1,50,19578.32463693724
60x120,30,1.5,3.0,0.3,0.1,50,19477.847090748335
60x120,120,0.5,3.0,0.3,0.1,50,19380.381760407086
60x120,30,0.5,3.0,0.3,0.1,100,19240.965468514325
60x120,60,0.5,3.0,0.3,0.2,50,19174.377071349725
60x180,60,0.5,3.0,0.3,0.1,100,31147.873986738028
60x180,60,0.5,3.0,0.3,0.2,50,31138.96401339208
60x180,30,1.5,3.0,0.3,0.2,100,30943.47917501018
